"";"ELEC";"EAU";"BATI";"BAIN";"WC";"MAL";"REFRI";"CLIM";"CHOS";"TFIXE";"INTER";"VOIT";"BATO";"DEROU";"NEM";"NEM100";"COUNT"
"Belep";0,92964824120603;0,984924623115578;0,864321608040201;0,919597989949749;0,85427135678392;0,371859296482412;0,78894472361809;0,0150753768844221;0,085427135678392;0,0653266331658292;0,226130653266332;0,587939698492462;0,613065326633166;0,57286432160804;56,1521289789913;90,6183641721102;199
"Boulouparis";0,886290322580645;0,911290322580645;0,97741935483871;0,983870967741935;0,978225806451613;0,875806451612903;0,924193548387097;0,44758064516129;0,351612903225806;0,423387096774194;0,480645161290323;0,77258064516129;0,433064516129032;0,364516129032258;70,169824968032;113,240136544518;1240
"Bourail";0,94601677148847;0,975366876310273;0,981132075471698;0,975890985324948;0,979035639412998;0,886268343815514;0,94706498951782;0,437631027253669;0,338574423480084;0,520440251572327;0,531446540880503;0,742662473794549;0,327044025157233;0,303459119496855;70,6430318665618;114,003798329733;1908
"Canala";0,855932203389831;0,969868173258004;0,950094161958569;0,929378531073446;0,908662900188324;0,576271186440678;0,792843691148776;0,0536723163841808;0,0461393596986817;0,123352165725047;0,171374764595104;0,674199623352166;0,402071563088512;0,352165725047081;55,6263681850787;89,7698908558444;1062
"Farino";0,969348659003831;0,96551724137931;1;1;1;0,954022988505747;0,988505747126437;0,302681992337165;0,21455938697318;0,521072796934866;0,509578544061303;0,885057471264368;0,425287356321839;0,348659003831418;71,9354704290499;116,089537026648;261
"Hienghène";0,714285714285714;0,955817378497791;0,982326951399116;0,908689248895434;0,8379970544919;0,49779086892489;0,787923416789396;0,0368188512518409;0,0662739322533137;0,154639175257732;0,375552282768778;0,686303387334315;0,466863033873343;0,43298969072165;56,5464721310698;91,2547555612452;679
"Houailou";0,874587458745875;0,976072607260726;0,96947194719472;0,924917491749175;0,891914191419142;0,694719471947195;0,841584158415842;0,0495049504950495;0,0585808580858086;0,1996699669967;0,20957095709571;0,67986798679868;0,425742574257426;0,372112211221122;58,2809542699274;94,0538646416475;1212
"Ile des Pins";0,957639939485628;0,934947049924357;0,924357034795764;0,901664145234493;0,854765506807867;0,629349470499244;0,774583963691377;0,0317700453857791;0,0665658093797277;0,170953101361573;0,143721633888048;0,553706505295008;0,369137670196672;0,35249621785174;54,7984849079685;88,4338519618384;661
"Kaala Gomen";0,912962962962963;0,875925925925926;0,957407407407407;0,948148148148148;0,898148148148148;0,781481481481481;0,940740740740741;0,181481481481481;0,159259259259259;0,255555555555556;0,344444444444444;0,777777777777778;0,344444444444444;0,25;61,716719966372;99,5985068974549;540
"Koné";0,950558213716108;0,977272727272727;0,986842105263158;0,986842105263158;0,983253588516746;0,895534290271132;0,951754385964912;0,39274322169059;0,401515151515151;0,404704944178628;0,572567783094099;0,742025518341308;0,206140350877193;0,175039872408293;68,7644320239284;110,972111949024;2508
"Koumac";0,962934362934363;0,956756756756757;0,972972972972973;0,989189189189189;0,978378378378378;0,918146718146718;0,959073359073359;0,517374517374517;0,288030888030888;0,466409266409266;0,508880308880309;0,73976833976834;0,274903474903475;0,213127413127413;69,7121945077578;112,501612031567;1295
